backend-1   | 2026-09-10T06:33:13.233498856Z INFO:     Started server process [1]
backend-1   | 2026-09-10T06:33:13.233570753Z INFO:     Waiting for application startup.
backend-1   | 2026-09-10T06:33:13.245773147Z INFO:     Application startup complete.
backend-1   | 2026-09-10T06:33:13.246013402Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1   | 2026-09-10T06:33:22.547060064Z INFO:     127.0.0.1:39818 - "GET /health HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:23.706807320Z INFO:     172.18.0.3:41414 - "GET /health HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:23.717160860Z INFO:     172.18.0.3:41424 - "POST /tasks HTTP/1.1" 202 Accepted
backend-1   | 2026-09-10T06:33:23.721082765Z INFO:     172.18.0.3:41436 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:24.226608092Z INFO:     172.18.0.3:41444 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:24.350894700Z Processing request of type CallToolRequest
frontend-1  | 2026-09-10T06:33:23.053918758Z /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
frontend-1  | 2026-09-10T06:33:23.053995091Z /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
frontend-1  | 2026-09-10T06:33:23.054799236Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
frontend-1  | 2026-09-10T06:33:23.058434307Z 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
frontend-1  | 2026-09-10T06:33:23.066512495Z 10-listen-on-ipv6-by-default.sh: info: /etc/nginx/conf.d/default.conf differs from the packaged version
frontend-1  | 2026-09-10T06:33:23.066760908Z /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
frontend-1  | 2026-09-10T06:33:23.066972205Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
frontend-1  | 2026-09-10T06:33:23.069238122Z /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
frontend-1  | 2026-09-10T06:33:23.070451842Z /docker-entrypoint.sh: Configuration complete; ready for start up
frontend-1  | 2026-09-10T06:33:23.078213452Z 2026/09/10 06:33:23 [notice] 1#1: using the "epoll" event method
frontend-1  | 2026-09-10T06:33:23.078249466Z 2026/09/10 06:33:23 [notice] 1#1: nginx/1.28.3
frontend-1  | 2026-09-10T06:33:23.078281263Z 2026/09/10 06:33:23 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
frontend-1  | 2026-09-10T06:33:23.078286761Z 2026/09/10 06:33:23 [notice] 1#1: OS: Linux 6.17.0-1022-azure
frontend-1  | 2026-09-10T06:33:23.078290707Z 2026/09/10 06:33:23 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 65536:65536
frontend-1  | 2026-09-10T06:33:23.078727693Z 2026/09/10 06:33:23 [notice] 1#1: start worker processes
frontend-1  | 2026-09-10T06:33:23.078931410Z 2026/09/10 06:33:23 [notice] 1#1: start worker process 29
frontend-1  | 2026-09-10T06:33:23.079099623Z 2026/09/10 06:33:23 [notice] 1#1: start worker process 30
frontend-1  | 2026-09-10T06:33:23.079250296Z 2026/09/10 06:33:23 [notice] 1#1: start worker process 31
frontend-1  | 2026-09-10T06:33:23.079510571Z 2026/09/10 06:33:23 [notice] 1#1: start worker process 32
frontend-1  | 2026-09-10T06:33:23.707179240Z 172.18.0.1 - - [10/Sep/2026:06:33:23 +0000] "GET /api/health HTTP/1.1" 200 244 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:23.708889745Z 172.18.0.1 - - [10/Sep/2026:06:33:23 +0000] "GET / HTTP/1.1" 200 418 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:23.710132583Z 172.18.0.1 - - [10/Sep/2026:06:33:23 +0000] "GET /assets/index-BbXGc9CQ.js HTTP/1.1" 200 218477 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:23.717926837Z 172.18.0.1 - - [10/Sep/2026:06:33:23 +0000] "POST /api/tasks HTTP/1.1" 202 1437 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:23.722129148Z 172.18.0.1 - - [10/Sep/2026:06:33:23 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 1740 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:24.227063581Z 172.18.0.1 - - [10/Sep/2026:06:33:24 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 2153 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:24.731983406Z 172.18.0.1 - - [10/Sep/2026:06:33:24 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 16785 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:25.251785800Z 172.18.0.1 - - [10/Sep/2026:06:33:25 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 19660 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:25.756650538Z 172.18.0.1 - - [10/Sep/2026:06:33:25 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 22411 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:25.759908332Z 172.18.0.1 - - [10/Sep/2026:06:33:25 +0000] "GET /api/tasks HTTP/1.1" 200 12686 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:25.770326266Z 172.18.0.1 - - [10/Sep/2026:06:33:25 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/events HTTP/1.1" 200 10436 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:25.772961119Z 172.18.0.1 - - [10/Sep/2026:06:33:25 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/context HTTP/1.1" 200 4890 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:25.774974221Z 172.18.0.1 - - [10/Sep/2026:06:33:25 +0000] "GET /api/skills HTTP/1.1" 200 2128 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:26.423766021Z 172.18.0.1 - - [10/Sep/2026:06:33:26 +0000] "GET /api/health HTTP/1.1" 502 157 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:26.423797492Z 2026/09/10 06:33:26 [error] 29#29: *25 connect() failed (111: Connection refused) while connecting to upstream, client: 172.18.0.1, server: , request: "GET /api/health HTTP/1.1", upstream: "http://172.18.0.2:8000/health", host: "127.0.0.1:8080"
frontend-1  | 2026-09-10T06:33:27.437177849Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /api/health HTTP/1.1" 200 244 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.438589191Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET / HTTP/1.1" 200 418 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.439764159Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /assets/index-BbXGc9CQ.js HTTP/1.1" 200 218477 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.444084369Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 22411 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.447018930Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /api/tasks HTTP/1.1" 200 12686 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.453875051Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/events HTTP/1.1" 200 10436 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.457294429Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /api/tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/context HTTP/1.1" 200 4890 "-" "Python-urllib/3.12" "-"
frontend-1  | 2026-09-10T06:33:27.458681791Z 172.18.0.1 - - [10/Sep/2026:06:33:27 +0000] "GET /api/skills HTTP/1.1" 200 2128 "-" "Python-urllib/3.12" "-"
backend-1   | 2026-09-10T06:33:24.353898363Z Processing request of type ListToolsRequest
backend-1   | 2026-09-10T06:33:24.362657979Z Processing request of type CallToolRequest
backend-1   | 2026-09-10T06:33:24.682096984Z Processing request of type CallToolRequest
backend-1   | 2026-09-10T06:33:24.731455345Z INFO:     172.18.0.3:41450 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:24.968990090Z Processing request of type CallToolRequest
backend-1   | 2026-09-10T06:33:25.251252847Z INFO:     172.18.0.3:41460 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:25.756235114Z INFO:     172.18.0.3:36904 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:25.759493003Z INFO:     172.18.0.3:36918 - "GET /tasks HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:25.762894684Z INFO:     172.18.0.3:36920 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/events HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:25.772618988Z INFO:     172.18.0.3:36926 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/context HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:25.774511797Z INFO:     172.18.0.3:36940 - "GET /skills HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:25.887750731Z INFO:     Shutting down
backend-1   | 2026-09-10T06:33:25.988327724Z INFO:     Waiting for application shutdown.
backend-1   | 2026-09-10T06:33:25.988387598Z INFO:     Application shutdown complete.
backend-1   | 2026-09-10T06:33:25.988458668Z INFO:     Finished server process [1]
backend-1   | 2026-09-10T06:33:27.128593436Z INFO:     Started server process [1]
backend-1   | 2026-09-10T06:33:27.128648017Z INFO:     Waiting for application startup.
backend-1   | 2026-09-10T06:33:27.129917815Z INFO:     Application startup complete.
backend-1   | 2026-09-10T06:33:27.130205901Z INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
backend-1   | 2026-09-10T06:33:27.436763191Z INFO:     172.18.0.3:36968 - "GET /health HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:27.443574435Z INFO:     172.18.0.3:36970 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85 HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:27.446565865Z INFO:     172.18.0.3:36986 - "GET /tasks HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:27.450060293Z INFO:     172.18.0.3:36992 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/events HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:27.456370813Z INFO:     172.18.0.3:37002 - "GET /tasks/d18ccdd0-bfb3-4889-ba3d-141988804f85/context HTTP/1.1" 200 OK
backend-1   | 2026-09-10T06:33:27.458320932Z INFO:     172.18.0.3:37014 - "GET /skills HTTP/1.1" 200 OK
